year,country,flu_value
2007,Argentina,197
2007,Australia,569
2007,Austria,779
2007,Belgium,121
2007,Bolivia,371
2007,Brazil,256
2007,Bulgaria,822
2007,Canada,1650
2007,Chile,11
2007,France,81
2007,Germany,870
2007,Hungary,84
2007,Japan,149
2007,Mexico,1365
2007,Netherlands,31
2007,New Zealand,27
2007,Norway,43
2007,Paraguay,315
2007,Peru,265
2007,Poland,53
2007,Romania,774
2007,Russia,319
2007,South Africa,2606
2007,Spain,62
2007,Sweden,3
2007,Switzerland,58
2007,Ukraine,407
2007,United States,1410
2007,Uruguay,143
2008,Argentina,179
2008,Australia,483
2008,Austria,828
2008,Belgium,90
2008,Bolivia,318
2008,Brazil,243
2008,Bulgaria,677
2008,Canada,1631
2008,Chile,8
2008,France,93
2008,Germany,838
2008,Hungary,104
2008,Japan,92
2008,Mexico,1165
2008,Netherlands,35
2008,New Zealand,36
2008,Norway,44
2008,Paraguay,285
2008,Peru,230
2008,Poland,50
2008,Romania,755
2008,Russia,403
2008,South Africa,2603
2008,Spain,42
2008,Sweden,3
2008,Switzerland,64
2008,Ukraine,393
2008,United States,1787
2008,Uruguay,122
2009,Argentina,153
2009,Australia,438
2009,Austria,906
2009,Belgium,198
2009,Bolivia,279
2009,Brazil,211
2009,Bulgaria,715
2009,Canada,2714
2009,Chile,21
2009,France,155
2009,Germany,875
2009,Hungary,152
2009,Japan,405
2009,Mexico,1136
2009,Netherlands,59
2009,New Zealand,51
2009,Norway,132
2009,Paraguay,267
2009,Peru,201
2009,Poland,106
2009,Romania,792
2009,Russia,565
2009,South Africa,2891
2009,Spain,77
2009,Sweden,9
2009,Switzerland,112
2009,Ukraine,493
2009,United States,2681
2009,Uruguay,111
2010,Argentina,134
2010,Australia,242
2010,Austria,616
2010,Belgium,53
2010,Bolivia,226
2010,Brazil,172
2010,Bulgaria,458
2010,Canada,1305
2010,Chile,16
2010,France,30
2010,Germany,654
2010,Hungary,53
2010,Japan,40
2010,Mexico,1144
2010,Netherlands,22
2010,New Zealand,34
2010,Norway,64
2010,Paraguay,193
2010,Peru,164
2010,Poland,24
2010,Romania,620
2010,Russia,448
2010,South Africa,2491
2010,Spain,14
2010,Sweden,2
2010,Switzerland,20
2010,Ukraine,386
2010,United States,1407
2010,Uruguay,98
2011,Argentina,107
2011,Australia,253
2011,Austria,671
2011,Belgium,86
2011,Bolivia,209
2011,Brazil,160
2011,Bulgaria,499
2011,Canada,1419
2011,Chile,6
2011,France,59
2011,Germany,668
2011,Hungary,80
2011,Japan,136
2011,Mexico,952
2011,Netherlands,31
2011,New Zealand,32
2011,Norway,93
2011,Paraguay,180
2011,Peru,136
2011,Poland,46
2011,Romania,667
2011,Russia,507
2011,South Africa,2484
2011,Spain,24
2011,Sweden,4
2011,Switzerland,44
2011,Ukraine,380
2011,United States,1662
2011,Uruguay,90
2012,Argentina,116
2012,Australia,518
2012,Austria,756
2012,Belgium,90
2012,Bolivia,189
2012,Brazil,145
2012,Bulgaria,307
2012,Canada,1917
2012,Chile,13
2012,France,72
2012,Germany,679
2012,Hungary,67
2012,Japan,297
2012,Mexico,1131
2012,Netherlands,38
2012,New Zealand,45
2012,Norway,87
2012,Paraguay,170
2012,Peru,128
2012,Poland,32
2012,Romania,609
2012,Russia,513
2012,South Africa,2576
2012,Spain,37
2012,Sweden,7
2012,Switzerland,56
2012,Ukraine,366
2012,United States,2319
2012,Uruguay,96
2013,Argentina,126
2013,Australia,367
2013,Austria,966
2013,Belgium,185
2013,Bolivia,176
2013,Brazil,167
2013,Bulgaria,345
2013,Canada,2004
2013,Chile,23
2013,France,146
2013,Germany,787
2013,Hungary,81
2013,Japan,474
2013,Mexico,1224
2013,Netherlands,52
2013,New Zealand,43
2013,Norway,90
2013,Paraguay,226
2013,Peru,130
2013,Poland,52
2013,Romania,652
2013,Russia,637
2013,South Africa,2705
2013,Spain,53
2013,Sweden,11
2013,Switzerland,123
2013,Ukraine,422
2013,United States,2504
2013,Uruguay,96
2014,Argentina,136
2014,Australia,590
2014,Austria,993
2014,Belgium,105
2014,Bolivia,174
2014,Brazil,170
2014,Bulgaria,487
2014,Canada,2334
2014,Chile,21
2014,France,56
2014,Germany,731
2014,Hungary,77
2014,Japan,649
2014,Mexico,1345
2014,Netherlands,32
2014,New Zealand,64
2014,Norway,78
2014,Paraguay,255
2014,Peru,126
2014,Poland,30
2014,Romania,663
2014,Russia,596
2014,South Africa,2992
2014,Spain,58
2014,Sweden,5
2014,Switzerland,74
2014,Ukraine,387
2014,United States,1920
2014,Uruguay,104
2015,Argentina,151
2015,Australia,636
2015,Austria,1254
2015,Belgium,347
2015,Bolivia,200
2015,Brazil,206
2015,Bulgaria,518
2015,Canada,2125
2015,Chile,13
2015,France,336
2015,Germany,889
2015,Hungary,191
2015,Japan,754
2015,Mexico,1357
2015,Netherlands,52
2015,New Zealand,25
2015,Norway,128
2015,Paraguay,309
2015,Peru,126
2015,Poland,61
2015,Romania,740
2015,Russia,670
2015,South Africa,3092
2015,Spain,152
2015,Sweden,10
2015,Switzerland,200
2015,Ukraine,378
2015,United States,1915
2015,Uruguay,131
